Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-12-10,DAL,69,SEA,TPE,Main,S10,2,D9,false,,2024-12-10T15:15,2024-12-10T15:46,,,,,2024-12-11T21:05,2024-12-11T20:50,Airbus A330-900neo,,,,,,,,22b0ce3c-29bd-43c2-84de-52c399a16cbe,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,1a0ff314-4db9-43eb-aef0-59d40b78505b,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2024-12-17,HKE,113,TPE,HKG,1,B8,1,,false,,2024-12-17T14:50,2024-12-17T15:02,,,,,2024-12-17T16:55,2024-12-17T17:08,Airbus A321,,,,,,,,235321d5-c2c7-48f9-8b61-8d26c48bf0de,665a54fa-0b6e-4086-abe4-2a6b2dd5c1e5,1a0ff314-4db9-43eb-aef0-59d40b78505b,7da61aa8-3d56-411b-8be5-50a198e86c60,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-12-21,CHH,7175,SZX,TFU,,366,2,,false,,2024-12-21T09:20,2024-12-21T09:42,,,,,2024-12-21T11:50,2024-12-21T12:09,Boeing 787-9,,,,,,,,20f23d3d-f553-4fe1-bc71-427a80757071,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,fe67fc1f-8483-4796-891a-81a54515c216,40ec87e9-232a-46b1-b6fb-a8e4500b4e3d,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-12-25,CCA,4335,CTU,SZX,2,164,,,false,,2024-12-25T17:00,,,,,,2024-12-25T19:30,,Airbus A330-300,,,,,,,,bcb04a80-9f00-4f92-a711-676f77f1ab4b,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,b0c5320c-15c1-4f40-b789-0cfe491aeb91,fe67fc1f-8483-4796-891a-81a54515c216,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2025-01-09,CAL,910,HKG,TPE,1,40,1,A2,false,,2025-01-09T14:05,2025-01-09T14:18,,,,,2025-01-09T15:50,2025-01-09T15:50,Airbus A321neo,,,,,,,,17e71cd8-7329-4021-ad6f-f845c2f2fc01,772d4949-a060-41e4-b4d4-6aff942bbf73,7da61aa8-3d56-411b-8be5-50a198e86c60,1a0ff314-4db9-43eb-aef0-59d40b78505b,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-01-09,CAL,12,TPE,JFK,2,D7,4,,false,,2025-01-09T17:35,2025-01-09T17:48,,,,,2025-01-09T19:20,2025-01-09T19:14,Boeing 777-300 ER,,,,,,,,b487e21d-d091-4443-b144-a729a8730180,772d4949-a060-41e4-b4d4-6aff942bbf73,1a0ff314-4db9-43eb-aef0-59d40b78505b,fc332185-4dde-4791-b449-0de5e83e47b9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-03-15,DAL,2577,EWR,DTW,A,A4,E,A55,false,,2025-03-15T12:36,2025-03-15T13:13,,,,,2025-03-15T14:32,2025-03-15T15:28,Boeing 717-200,,,,,,,,e5a05a3b-08d7-4fbc-9065-b1ede88eae88,a8765091-d043-44b1-936c-d217bb519e56,4427d229-a1e2-4955-81fa-9b5c0f103f12,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,,92a68bee-2e3c-4fc9-975a-20b0d93ac3ed
2025-03-15,DAL,442,DTW,SFO,E,A29,1,C7,false,,2025-03-15T17:55,2025-03-15T17:51,,,,,2025-03-15T20:07,2025-03-15T19:55,Boeing 737-900ER,,,,,,,,3af86b94-39ee-492a-a6b1-142e04899aa2,a8765091-d043-44b1-936c-d217bb519e56,8eee2bc8-dcbf-4b7b-a221-e38cce7c823a,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,24012541-435d-4a27-af8a-4791336f1965
2025-03-26,DAL,669,SFO,JFK,1,C8,4,B28,false,,2025-03-26T14:35,2025-03-26T14:34,,,,,2025-03-26T23:00,2025-03-26T22:49,Boeing 767-300,,,,,,,,0c18a7a0-f453-4a4d-bac3-2c9e838d88b1,a8765091-d043-44b1-936c-d217bb519e56,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,fc332185-4dde-4791-b449-0de5e83e47b9,,3e31e7b6-cfc1-4a82-b88b-bbb8ecad73c3
2025-04-24,UAL,7909,JFK,HND,7,6,2,,false,,2025-04-24T13:30,2025-04-24T13:20,,,,,2025-04-25T16:55,2025-04-25T17:13,Boeing 777-300 ER,,,,,,,,66f491dc-d64f-4cba-9650-d97cd53d049b,b57b4c86-4724-48f1-80be-d7de4036004a,fc332185-4dde-4791-b449-0de5e83e47b9,deceac13-5547-4a5a-9877-06e35ae80304,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-05-14,DAL,668,SFO,JFK,1,C8,4,B28,false,,2025-05-14T11:40,2025-05-14T11:38,,,,,2025-05-14T20:45,2025-05-14T20:20,Boeing 767-300,,,,,,,,0b69a7a2-a39f-43e9-afa1-727a54166610,a8765091-d043-44b1-936c-d217bb519e56,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,fc332185-4dde-4791-b449-0de5e83e47b9,,3e31e7b6-cfc1-4a82-b88b-bbb8ecad73c3
